"","county","month","rate"
"201","Gratiot","5",17.2
"202","Gratiot","6",11.2
"203","Gratiot","7",7.9
"204","Hillsdale","1",4.4
"205","Hillsdale","2",3.6
"206","Hillsdale","3",3.8
"207","Hillsdale","4",27.7
"208","Hillsdale","5",22.7
"209","Hillsdale","6",13.3
"210","Hillsdale","7",8.7
"211","Houghton","1",5.3
"212","Houghton","2",4.3
"213","Houghton","3",4.5
"214","Houghton","4",15.7
"215","Houghton","5",13.9
"216","Houghton","6",11.5
"217","Houghton","7",8.5
"218","Huron","1",5.6
"219","Huron","2",4.5
"220","Huron","3",4.4
"221","Huron","4",27.7
"222","Huron","5",18.3
"223","Huron","6",12.4
"224","Huron","7",7.8
"225","Ingham","1",3.2
"226","Ingham","2",2.8
"227","Ingham","3",2.9
"228","Ingham","4",18.3
"229","Ingham","5",16.2
"230","Ingham","6",11.8
"231","Ingham","7",8.9
"232","Ionia","1",3.7
"233","Ionia","2",2.9
"234","Ionia","3",2.9
"235","Ionia","4",26.7
"236","Ionia","5",20.6
"237","Ionia","6",12.3
"238","Ionia","7",7.9
"239","Iosco","1",8.5
"240","Iosco","2",6.9
"241","Iosco","3",6.6
"242","Iosco","4",26.3
"243","Iosco","5",20.8
"244","Iosco","6",14.7
"245","Iosco","7",10.1
"246","Iron","1",6.9
"247","Iron","2",6
"248","Iron","3",6
"249","Iron","4",18.8
"250","Iron","5",13.2
"251","Iron","6",9.9
"252","Iron","7",7.8
"253","Isabella","1",4.1
"254","Isabella","2",3.6
"255","Isabella","3",3.7
"256","Isabella","4",22
"257","Isabella","5",17.4
"258","Isabella","6",12.2
"259","Isabella","7",8.2
"260","Jackson","1",3.9
"261","Jackson","2",3.4
"262","Jackson","3",3.4
"263","Jackson","4",24.6
"264","Jackson","5",20.2
"265","Jackson","6",14.4
"266","Jackson","7",10.1
"267","Kalamazoo","1",3.2
"268","Kalamazoo","2",2.7
"269","Kalamazoo","3",2.8
"270","Kalamazoo","4",17.3
"271","Kalamazoo","5",15.2
"272","Kalamazoo","6",11.7
"273","Kalamazoo","7",8.7
"274","Kalkaska","1",7.4
"275","Kalkaska","2",6.5
"276","Kalkaska","3",6
"277","Kalkaska","4",28.5
"278","Kalkaska","5",22.4
