,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,county,state
1304,26147,0.051,0.069,0.046,0.19399999999999998,0.64,St. Clair,Michigan
1305,26149,0.048,0.079,0.19699999999999998,0.18899999999999997,0.488,St. Joseph,Michigan
1306,26151,0.078,0.11199999999999999,0.077,0.21,0.522,Sanilac,Michigan
1307,26153,0.040999999999999995,0.021,0.14,0.187,0.611,Schoolcraft,Michigan
1308,26155,0.11599999999999999,0.046,0.065,0.297,0.475,Shiawassee,Michigan
1309,26157,0.091,0.05,0.078,0.24600000000000002,0.536,Tuscola,Michigan
1310,26159,0.025,0.068,0.13699999999999998,0.183,0.5870000000000001,Van Buren,Michigan
1311,26161,0.019,0.022000000000000002,0.046,0.18,0.733,Washtenaw,Michigan
1312,26163,0.046,0.032,0.075,0.156,0.69,Wayne,Michigan
1313,26165,0.036000000000000004,0.055999999999999994,0.077,0.171,0.659,Wexford,Michigan
