"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"14591",127,"Oceana",17,690,313,377,308,368,0,2,0,1,3,2,0,0,14,13,2,4,676,2,1,5,0,27,6
"14592",127,"Oceana",18,553,233,320,224,314,0,2,3,1,3,0,0,0,6,3,3,3,538,2,4,3,0,9,6
"14802",129,"Ogemaw",0,20997,10464,10533,10087,10137,48,38,69,64,94,120,6,2,250,240,160,172,20224,86,133,214,8,490,332
"14819",129,"Ogemaw",17,677,350,327,344,324,0,0,0,0,2,0,0,0,1,5,4,3,668,0,0,2,0,6,7
"14820",129,"Ogemaw",18,565,210,355,205,348,0,1,0,1,1,2,0,0,4,3,4,3,553,1,1,3,0,7,7
"15030",131,"Ontonagon",0,5720,2924,2796,2826,2663,11,8,14,19,38,48,1,0,44,47,34,58,5489,19,33,86,1,91,92
"15047",131,"Ontonagon",17,297,156,141,156,138,0,0,0,1,0,1,0,0,1,1,0,1,294,0,1,1,0,2,1
"15048",131,"Ontonagon",18,204,78,126,72,120,1,0,0,3,4,1,0,0,0,0,1,2,192,1,3,5,0,0,3
"15258",133,"Osceola",0,23460,11801,11659,11325,11230,115,80,32,39,80,86,6,7,277,254,243,217,22555,195,71,166,13,531,460
"15275",133,"Osceola",17,633,289,344,283,333,2,1,0,3,1,1,0,0,3,4,3,6,616,3,3,2,0,7,9
"15276",133,"Osceola",18,505,190,315,187,310,0,1,1,0,2,0,0,0,6,3,0,4,497,1,1,2,0,9,4
"15486",135,"Oscoda",0,8241,4210,4031,4072,3896,23,19,6,11,44,40,0,4,80,72,65,61,7968,42,17,84,4,152,126
"15503",135,"Oscoda",17,267,144,123,144,120,0,1,0,1,0,0,0,0,1,0,0,1,264,1,1,0,0,1,1
"15504",135,"Oscoda",18,225,97,128,96,124,0,0,0,1,0,1,0,1,1,1,1,1,220,0,1,1,1,2,2
"15714",137,"Otsego",0,24668,12269,12399,11748,11898,87,59,59,108,127,102,7,7,191,272,241,225,23646,146,167,229,14,463,466
"15731",137,"Otsego",17,621,284,337,280,327,1,0,1,1,0,3,0,1,4,3,2,5,607,1,2,3,1,7,7
"15732",137,"Otsego",18,632,259,373,249,366,4,3,0,0,4,3,0,0,2,4,2,1,615,7,0,7,0,6,3
"15942",139,"Ottawa",0,291830,144245,147585,133415,136679,3042,2493,4026,4592,838,863,71,76,15424,14304,2853,2882,270094,5535,8618,1701,147,29728,5735
"15959",139,"Ottawa",17,5335,2355,2980,2290,2913,17,13,24,26,8,11,1,3,75,84,15,14,5203,30,50,19,4,159,29
"15960",139,"Ottawa",18,5658,2068,3590,2044,3526,7,11,13,35,1,12,0,0,34,93,3,6,5570,18,48,13,0,127,9
"16170",141,"Presque Isle",0,12592,6268,6324,6058,6099,44,37,33,47,68,55,0,5,95,99,65,81,12157,81,80,123,5,194,146
"16187",141,"Presque Isle",17,502,238,264,238,263,0,1,0,0,0,0,0,0,3,1,0,0,501,1,0,0,0,4,0
"16188",141,"Presque Isle",18,504,226,278,223,269,0,1,0,4,0,0,0,0,1,1,3,4,492,1,4,0,0,2,7
"16398",143,"Roscommon",0,24019,12036,11983,11573,11522,80,77,79,87,120,112,4,2,255,247,180,183,23095,157,166,232,6,502,363
"16415",143,"Roscommon",17,979,468,511,455,501,0,3,0,3,2,1,0,0,4,2,11,3,956,3,3,3,0,6,14
"16416",143,"Roscommon",18,690,308,382,294,369,1,2,2,1,2,5,0,1,5,2,9,4,663,3,3,7,1,7,13
"16626",145,"Saginaw",0,190539,92577,97962,70956,74349,17453,19274,1339,1373,569,572,54,55,8031,8486,2206,2339,145305,36727,2712,1141,109,16517,4545
"16643",145,"Saginaw",17,4466,1855,2611,1641,2282,176,289,21,14,4,7,3,0,76,119,10,19,3923,465,35,11,3,195,29
"16644",145,"Saginaw",18,4941,1697,3244,1501,2829,176,378,9,18,2,4,0,0,59,133,9,15,4330,554,27,6,0,192,24
"16854",147,"St. Clair",0,159128,79111,80017,74301,75264,2158,1920,412,569,426,442,22,30,2843,2737,1792,1792,149565,4078,981,868,52,5580,3584
"16871",147,"St. Clair",17,3499,1497,2002,1457,1943,21,31,8,6,7,4,0,0,17,25,4,18,3400,52,14,11,0,42,22
"16872",147,"St. Clair",18,3437,1233,2204,1200,2148,13,38,6,10,1,6,0,0,10,18,13,2,3348,51,16,7,0,28,15
"17082",149,"St. Joseph",0,60964,30507,30457,28576,28579,792,718,188,223,197,184,5,7,2654,2474,749,746,57155,1510,411,381,12,5128,1495
"17099",149,"St. Joseph",17,1323,564,759,543,735,12,12,3,4,5,5,0,0,10,10,1,3,1278,24,7,10,0,20,4
"17100",149,"St. Joseph",18,1323,473,850,458,824,8,17,2,3,0,2,0,0,4,9,5,4,1282,25,5,2,0,13,9
"17310",151,"Sanilac",0,41170,20544,20626,19913,20061,152,87,74,95,150,115,7,8,855,702,248,260,39974,239,169,265,15,1557,508
"17327",151,"Sanilac",17,1153,514,639,509,628,1,0,0,4,2,3,0,0,9,7,2,4,1137,1,4,5,0,16,6
"17328",151,"Sanilac",18,960,398,562,389,552,2,2,2,2,2,2,0,0,8,9,3,4,941,4,4,4,0,17,7
"17538",153,"Schoolcraft",0,8094,3980,4114,3430,3550,16,18,10,11,369,382,0,0,58,49,155,153,6980,34,21,751,0,107,308
"17555",153,"Schoolcraft",17,282,118,164,114,153,0,0,0,0,3,9,0,0,0,0,1,2,267,0,0,12,0,0,3
"17556",153,"Schoolcraft",18,248,91,157,85,142,0,0,0,0,4,12,0,0,0,3,2,3,227,0,0,16,0,3,5
"17766",155,"Shiawassee",0,68122,33783,34339,32503,33172,316,213,154,207,204,191,22,29,1068,1034,584,527,65675,529,361,395,51,2102,1111
"17783",155,"Shiawassee",17,1507,660,847,647,828,0,4,4,6,1,0,0,0,6,15,8,9,1475,4,10,1,0,21,17
"17784",155,"Shiawassee",18,1422,518,904,510,887,1,1,3,6,1,4,0,0,3,9,3,6,1397,2,9,5,0,12,9
"17994",157,"Tuscola",0,52245,26284,25961,25238,25041,457,238,77,105,182,177,7,15,963,910,323,385,50279,695,182,359,22,1873,708
"18011",157,"Tuscola",17,1364,609,755,592,743,8,2,1,1,2,2,0,0,12,5,6,7,1335,10,2,4,0,17,13
"18012",157,"Tuscola",18,1183,430,753,418,737,7,5,1,2,2,4,1,0,5,3,1,5,1155,12,3,6,1,8,6
"18222",159,"Van Buren",0,75677,37574,38103,34364,34868,1493,1497,213,310,480,410,19,20,4634,4197,1005,998,69232,2990,523,890,39,8831,2003
"18239",159,"Van Buren",17,1502,680,822,637,763,33,42,5,9,0,3,0,0,17,22,5,5,1400,75,14,3,0,39,10
"18240",159,"Van Buren",18,1459,536,923,494,872,34,41,3,6,4,1,0,0,9,21,1,3,1366,75,9,5,0,30,4
"18450",161,"Washtenaw",0,367601,182191,185410,135285,137616,22299,22957,17196,17273,693,743,97,113,8961,9114,6621,6708,272901,45256,34469,1436,210,18075,13329
"18467",161,"Washtenaw",17,5568,2391,3177,2010,2701,196,259,168,182,3,12,1,0,40,73,13,23,4711,455,350,15,1,113,36
"18468",161,"Washtenaw",18,6067,2185,3882,1890,3367,142,325,146,165,2,4,1,0,19,57,4,21,5257,467,311,6,1,76,25
"18678",163,"Wayne",0,1749343,842466,906877,473084,482297,312553,364953,30288,31496,4000,4283,182,160,54288,53163,22359,23688,955381,677506,61784,8283,342,107451,46047
"18695",163,"Wayne",17,30522,12013,18509,7876,11425,3643,6462,367,401,20,40,3,4,290,408,104,177,19301,10105,768,60,7,698,281
"18696",163,"Wayne",18,35949,12096,23853,7805,14820,3953,8454,246,355,2,42,1,0,309,482,89,182,22625,12407,601,44,1,791,271
"18906",165,"Wexford",0,33631,16874,16757,16119,16111,145,79,116,113,148,105,11,12,373,337,335,337,32230,224,229,253,23,710,672
"18923",165,"Wexford",17,744,349,395,344,388,1,0,0,3,1,0,0,0,1,4,3,4,732,1,3,1,0,5,7
"18924",165,"Wexford",18,768,295,473,286,464,2,4,0,1,3,3,0,0,1,3,4,1,750,6,1,6,0,4,5
