"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"3630",31,"Cheboygan",0,25276,12616,12660,11729,11744,115,74,39,71,372,398,6,8,206,170,355,365,23473,189,110,770,14,376,720
"3647",31,"Cheboygan",17,838,398,440,387,433,0,0,1,0,4,6,0,0,0,2,6,1,820,0,1,10,0,2,7
"3648",31,"Cheboygan",18,739,290,449,277,435,0,0,1,3,5,6,0,1,2,3,7,4,712,0,4,11,1,5,11
"3858",33,"Chippewa",0,37349,20705,16644,14092,12245,2485,118,151,170,2985,3088,9,15,384,359,983,1008,26337,2603,321,6073,24,743,1991
"3875",33,"Chippewa",17,875,412,463,379,412,1,2,1,3,23,39,0,0,0,0,8,7,791,3,4,62,0,0,15
"3876",33,"Chippewa",18,798,312,486,284,440,1,0,2,2,19,28,0,0,4,0,6,16,724,1,4,47,0,4,22
"4086",35,"Clare",0,30950,15480,15470,14895,14952,159,77,36,57,139,131,5,5,325,326,246,248,29847,236,93,270,10,651,494
"4103",35,"Clare",17,883,437,446,427,439,0,1,0,1,3,2,0,0,1,0,7,3,866,1,1,5,0,1,10
"4104",35,"Clare",18,712,293,419,284,411,3,2,1,2,3,4,0,0,2,4,2,0,695,5,3,7,0,6,2
"4314",37,"Clinton",0,79595,39226,40369,36716,37792,883,822,602,700,211,208,19,21,1858,1819,795,826,74508,1705,1302,419,40,3677,1621
"4331",37,"Clinton",17,1561,687,874,665,848,10,7,5,10,2,2,0,1,17,16,5,6,1513,17,15,4,1,33,11
"4332",37,"Clinton",18,1545,574,971,560,951,9,8,2,4,3,5,0,0,13,11,0,3,1511,17,6,8,0,24,3
"4542",39,"Crawford",0,14029,7162,6867,6877,6590,74,51,46,72,56,50,5,1,148,164,104,103,13467,125,118,106,6,312,207
"4559",39,"Crawford",17,446,213,233,207,231,1,0,0,1,1,0,0,0,1,0,4,1,438,1,1,1,0,1,5
"4560",39,"Crawford",18,388,178,210,174,203,0,1,0,1,0,2,0,0,5,2,4,3,377,1,1,2,0,7,7
